date,fighter_a_name,fighter_b_name,fighter_a_age_diff,fighter_a_eff_diff,fighter_a_control_rate_diff,weight_class_Bantamweight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,cage_size_big,cage_size_small,fighter_a_win_probability,fighter_b_win_probability
04-13-2024,Justin Gaethje,Max Holloway,3.05,-1.86,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42,0.5800000000000001
04-13-2024,Zhang Weili,Yan Xiaonan,-0.16,0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.43,0.5700000000000001
04-13-2024,Jiri Prochazka,Aleksandar Rakic,-0.68,-0.75,-0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49,0.51
04-13-2024,Calvin Kattar,Aljamain Sterling,1.35,-1.39,-0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42,0.5800000000000001
04-13-2024,Bo Nickal,Cody Brundage,-1.66,2.24,1.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51,0.49
04-13-2024,Charles Oliveira,Arman Tsarukyan,6.99,-1.51,-0.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43,0.5700000000000001
04-13-2024,Deiveson Figueiredo,Cody Garbrandt,3.55,-0.02,-0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.44,0.56
04-13-2024,Bobby Green,Jim Miller,-3.03,1.73,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.72,0.28
04-06-2024,Marvin Vettori,Brendan Allen,2.27,1.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,0.43999999999999995
03-23-2024,Amanda Ribas,Rose Namajunas,-1.16,-0.52,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23,0.77
